,Proficiency of Material Means,Explaining Material Well Means
"Sejnowski, Terrence J",4.272857142857143,3.5614285714285714
"Halpain, Shelley",4.284,4.003
"Malinow, Roberto",4.83375,4.5825
"French, Kathleen Ann",4.473461538461539,4.203076923076923
"Greenspan, Ralph J.",4.67,4.33
"Chisholm, Andrew D.",4.88,4.5
"Estelle, Mark",4.72875,4.61375
"Troemel, Emily Ruth",4.467142857142857,4.195714285714286
"Villa Rodriguez, Elizabeth",4.478,3.968
"Shurin, Jonathan",4.501818181818181,4.066363636363636
"Holway, David A.",4.647777777777778,4.438888888888889
"Saier, Milton H.",4.468245614035087,4.24859649122807
"Lauberth, Shannon Marie",4.53,3.9083333333333337
"Kadonaga, James T",4.785,4.48625
"David, Michael",4.7475000000000005,4.55
"Bennett, Eric J",4.675714285714285,4.408571428571428
"Herzik, Mark Anthony",5.0,4.6
"McHugh, Colleen A",4.325,4.2
"Jin, Yishi",4.705,4.533333333333333
"Muotri, Alysson",4.695,4.541666666666667
"Wilhelm, James E.",4.685714285714285,4.502857142857143
"Kryazhimskiy, Sergey A",4.715,4.1425
"Ryan, Elizabeth Mary",4.71,4.71
"Butler, Madeline",4.794,4.776666666666668
"McGinnis, William James",4.46,4.195
"Tour, Ella",4.576428571428572,4.549047619047619
"Karlseder, Jan",4.756666666666667,4.73
"Saghatelian, Alan",4.776666666666666,4.71
"Paxman, Julie Roberts",4.39,4.21
"Rizk, Maryan Girgis Soliman",4.329999999999999,4.28
"Mak, Raymond Hengfai",4.13,4.75
"Painter, Chelsea Danielle",4.605,4.545
"Puritty, Chandler Elizabeth",4.67,4.57
"Adomako, Marie Antonia",4.36,4.19
"Mohan, Swarna",4.596363636363637,4.313076923076924
"Desai, Arshad",4.887499999999999,4.8025
"Oegema, Karen",4.88,4.845
"Roy, Kaustuv",4.742222222222222,4.572222222222222
"Wasserman, Steven A.",4.73,4.498333333333334
"Farley, Emma Kristen",4.55,4.45
"Fortes, P. A. George",4.394666666666667,3.6095555555555556
"Xu, Yang",4.2553846153846155,3.7261538461538466
"Broccard Bell, Heather Chr",4.6025,4.387499999999999
"Byrne, Kathryne",3.5175,2.8575
"Gentner, Tim",4.67,3.67
"Pfaff, Samuel",4.651999999999999,4.576
"Doblas Ibanez, Paula Adela",4.72,4.72
"Ryan, Genevieve Elaine",4.23,3.8899999999999997
"Davis, Amanda Gabrielle",4.78,4.56
"Waterton, Joseph Sebastian",4.48,4.04
"Herndon, Jenny Dyann",4.4670588235294115,4.219411764705882
"Baker, Timothy Stanley",4.686,4.287999999999999
"Bansal, Vikas",4.33,3.0
"Heinrich, Erica C",4.71,4.75
"Crawford, Nigel M.",4.788333333333333,4.7525
"Henter, Heather J.",4.73,4.405
"Espin Palazon, Raquel",3.9699999999999998,3.51
"Grainger, Stephanie L",4.62,4.48
"Markmiller, Rea Lardelli",4.39,4.28
"De Silva, Shermin",4.31,3.63
"Chilukuri, Lakshmi N",4.531428571428571,4.676190476190476
"Erb, Marcella L",4.91,4.82
"Raiko, Mikhail P.",3.86,3.14
"Rodionov, Dmitry A",4.2,2.4
"Medrano Soto, Luis Arturo",4.57,4.33
"Posakony, James W",4.724000000000001,4.558
"Montal, S. Maurice",4.26,3.14
"Heinrichsen, Erilynn Terese",4.04,4.03
"Ghosh Dastidar, Ranita",3.53,2.86
"Bloomekatz, Joshua",3.77,2.54
"Hicks, Jenna Schug",4.63,4.49
"Lewis, Levi Steele",4.35,4.35
"Wang, Jean Yin Jen",4.4399999999999995,4.295
"Dunbar, Tiffany L",4.65,4.816666666666666
"Ring, Gabriela Aviva",4.47,4.390000000000001
"Pogliano, Kit J.",4.7075000000000005,4.6175
"Do, Long Hoang",,4.333333333333333
"Collins, Eva-Maria Schoetz",4.68,3.9850000000000003
"Goulding, Martyn",4.26,3.9825
"Lee, Kuo Fen",4.26,3.7124999999999995
"La Spada, Albert",4.565,4.5825
"Reinagel, Pam",4.073333333333333,3.4133333333333336
"Kristan, William B.",4.29,3.75
"Todd, Krista L.",3.9333333333333336,3.513333333333333
"Perks, Krista Eva",3.38,3.14
"Noto, Akana Elizabeth",4.31,4.14
"Clark, Dan",4.8575,4.8625
"Ghiara, Jayant",4.777142857142857,4.644285714285714
"Huberman, Andrew David",4.776666666666666,4.53
"Berg, Darwin K.",4.67,4.3025
"Markow, Therese A.",4.12,3.875
"Wienhausen, Gabriele",4.736,4.8180000000000005
"Scanziani, Massimo",4.596666666666667,4.3999999999999995
"Scheffler, Immo E.",4.609999999999999,4.154999999999999
"Richmond, Maxi Polihronaki",4.3,4.25
"Schoetz, Eva-Maria",4.67,4.67
"Strum, Shirley C.",4.449999999999999,4.15
"Woodruff, David S",4.6171428571428565,4.407142857142857
"Clemmons, Alexa Watson",4.68,4.71
"Emerson, Beverly Marie",4.43,4.14
"Jones, Katherine A.",4.5,4.67
"Brown, Willie C.",4.59,4.395
"Aroian, Raffi V.",4.73,4.345000000000001
"Sternfeld, Matthew J",4.64,4.57
"Marietou, Angeliki",,4.69
"Gantner, Marin Leigh",4.64,4.55
"Pykalainen, Anette",3.85,3.26
"Price, Paul A.",4.855,4.66
"Curington, John Gibson",4.5649999999999995,4.525
"Rypien, Krystal L",4.553333333333334,4.403333333333333
"Johnson, Tracy Lanise",4.85,4.8149999999999995
"Tam, Tobey M",4.22,4.18
"Trujillo, Gloriana V.",3.96,3.41
"Trial, Rachelle Marie",4.48,4.31
